Lecythidaceae;38.09096686;38.09096686
Tetrameristaceae;55.43809846;55.3380975
Marcgraviaceae;55.43809946;55.23809654
Loasaceae;53.90563104;53.90563104
Portulacaceae;28.80314992;28.80314992
Cactaceae;21.40795837;21.40795837
Basellaceae;18.48564611;18.48564611
Molluginaceae;54.10511872;54.10511872
Phytolaccaceae;63.50490233;63.50490233
Nyctaginaceae;43.01012132;43.01012132
Aizoaceae;21.48210895;21.48210895
Amaranthaceae;35.51469104;35.51469104
Achatocarpaceae;64.15623234;35.41468807
Caryophyllaceae;70.11261151;35.31468509
Rhabdodendraceae;103.9453359;35.21468311
Droseraceae;99.29551593;99.19551497
Polygonaceae;33.80676975;33.80676975
Plumbaginaceae;41.66714156;41.66714156
Olacaceae;18.17052207;18.17052207
Loranthaceae;67.87425807;67.77425812
Schoepfiaceae;67.87425807;67.67425817
Opiliaceae;78.4496437;67.57425821
Santalaceae;45.47587835;45.47587835
Dilleniaceae;50.83406666;50.83406666
Gunneraceae;125.0755453;42.99270719
Proteaceae;31.18630162;31.18630162
Sabiaceae;68.19155376;68.19155376
Berberidaceae;30.67328175;30.67328175
Ranunculaceae;66.06197635;66.06197635
Menispermaceae;57.27887282;57.27887282
Ceratophyllaceae;134.4231562;50.71295507
Velloziaceae;48.56190822;48.56190822
Cyclanthaceae;72.34923613;10.2907472
Burmanniaceae;72.75134155;72.6513426
Dioscoreaceae;72.75134155;72.55134364
Taccaceae;79.90406735;72.45134469
Nartheciaceae;95.23297401;72.35134473
Asparagaceae;15.88133106;15.88133106
Amaryllidaceae;32.00780949;32.00780949
Iridaceae;38.06943813;38.06943813
Hypoxidaceae;11.56724643;11.56724643
Orchidaceae;59.74689538;59.74689538
Poaceae;25.66556825;25.66556825
Cyperaceae;29.91122284;29.91122284
Juncaceae;55.16096068;29.81122188
Mayacaceae;77.16795409;29.71122092
Eriocaulaceae;77.12830395;77.028302
Xyridaceae;77.12830395;76.92830004
Rapateaceae;97.55177173;76.82829809
Bromeliaceae;26.08142061;26.08142061
Typhaceae;54.30095659;54.30095659
Haemodoraceae;44.32938751;44.22938656
Pontederiaceae;44.32938751;44.12938561
Commelinaceae;68.54799446;44.02938466
Cannaceae;38.23867849;38.13867854
Marantaceae;38.23867849;38.03867858
Zingiberaceae;47.68874229;37.93867863
Musaceae;54.6760969;37.83867867
Strelitziaceae;25.11765996;25.11765996
Arecaceae;41.9212988;41.9212988
Alstroemeriaceae;23.8731569;23.8731569
Smilacaceae;87.90810407;23.77315595
Alismataceae;72.05473013;71.95473017
Hydrocharitaceae;44.94381424;44.94381424
Potamogetonaceae;68.75752005;68.6575201
Juncaginaceae;68.75752005;68.55752015
Araceae;121.6507293;121.6507293
Cabombaceae;46.67270429;46.67270429
Nymphaeaceae;105.7032763;105.7032763
